Posição,Unidade federativa,População,% da pop. total
1, São Paulo,46 289 333,"21,9%"
2, Minas Gerais,21 292 666,"10,1%"
3, Rio de Janeiro,17 366 189,"8,2%"
4,  Bahia,14 930 634,"7,1%"
5, Paraná,11 516 840,"5,4%"
6, Rio Grande do Sul,11 422 973,"5,4%"
7, Pernambuco,9 616 621,"4,5%"
8, Ceará,9 187 103,"4,3%"
9,  Pará,8 690 745,"4,1%"
10, Santa Catarina,7 252 502,"3,4%"
11, Maranhão,7 114 598,"3,4%"
12, Goiás,7 113 540,"3,4%"
13, Amazonas,4 207 714,"2,0%"
14, Espírito Santo,4 064 052,"1,9%"
15, Paraíba,4 039 277,"1,9%"
16, Rio Grande do Norte,3 534 165,"1,7%"
17, Mato Grosso,3 526 220,"1,7%"
18, Alagoas,3 351 543,"1,6%"
19, Piauí,3 281 480,"1,6%"
20, Distrito Federal,3 055 149,"1,4%"
21, Mato Grosso do Sul,2 809 394,"1,3%"
22, Sergipe,2 318 822,"1,1%"
23, Rondônia,1 796 460,"0,8%"
24, Tocantins,1 590 248,"0,7%"
25, Acre,894 470,"0,4%"
26, Amapá,861 773,"0,4%"
27, Roraima,631 181,"0,3%"
